id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,hitSpnX,hitSpnY,hitSpnZ,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
140,7,1,3,2,0,0,2,0,0,0,255,255,255,67,6023.42,"-Alta-",L,0,140,0.431,0.737,0,-38.808,-127.626,0,0,0,7,2,R,"アリアル",190,94.529,0.5,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069,-36.608,0.147,-16.422,-23.058,-47.075,-10.215,-63.008,16.845,-43.45,10.878,-65.091,35.325,-85.647,0.23,-112.124,-40.525,-82.688,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
141,7,1,3,2,0,1,2,0,0,0,255,255,255,68,6038.688,"-Alta-",L,10,128,0.616,-1.658,2,0,400,0,0,1,7,2,R,"アリアル",190,94.529,0.5,3,59,6039.486,217,181,63,155,130,-30,26.067,0.51,-0.033,-0.029,0.396,0,0,0,0.589,-36.655,0.063,-16.527,-23.115,-47.099,-10.245,-62.832,16.789,-43.452,13.581,-64.464,35.236,-85.638,1.723,-114.145,-41.902,-84.338,6039.653,-0.078,-20.22,6042.853,8,"わかなで",-33.496,-75.725,1,0,0,0,0,0,0,2
142,7,1,3,2,0,0,2,1,0,0,2,255,255,69,6099.726,"-Alta-",L,10,112,0.924,-1.373,4,0,400,0,0,1,8,6,R,"소솨소솨",174.7,95.565,0.5,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059,-37.074,0.114,-16.415,-18.109,-39.774,-10.333,-59.959,17.405,-45.946,9.924,-63.28,30.287,-85.394,0.83,-118.93,-42.317,-86.569,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
143,7,1,3,2,0,1,2,1,0,0,2,255,255,70,6119.299,"-Alta-",L,10,118,1.153,-0.597,2,0,400,0,0,1,8,6,R,"소솨소솨",174.7,95.565,0.5,2,59,6120.193,133,76,19,134,78,-23.235,-32.73,-0.51,-0.121,-0.184,0.171,0,0,0,0.343,-36.773,0.092,-16.353,-18.675,-39.328,-10.029,-62.393,18.273,-44.868,15.917,-62.836,30.978,-85.899,0.316,-119.098,-44.516,-88.377,6120.353,0.996,-20.555,6122.069,4,"Kenomo",14.682,-42.048,0,0,0,0,0,0,0,2
144,7,0,3,2,0,0,0,0,0,0,255,255,255,71,6212.254,"Slaris",R,0,140,1.42,0.703,0,-23.084,-200,0,0,0,4,2,R,"P0TA0",190,100,0.394,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086,-36.996,0.105,-16.887,-24.574,-49.607,-15.875,-63.631,18.223,-50.228,11.869,-69.431,29.61,-87.754,-0.592,-105.112,-36.916,-86.109,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
145,7,0,3,2,0,1,0,0,0,0,255,255,255,72,6229.294,"Slaris",R,0,135,1.404,1.314,1,55.014,-119.133,0,0,0,4,2,R,"P0TA0",190,100,0.394,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.051,-36.824,0.072,-16.853,-24.567,-49.573,-15.593,-63.725,18.59,-50.167,10.041,-66.57,29.62,-87.704,-0.045,-104.749,-37.231,-86.427,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
146,7,0,3,2,1,1,0,0,0,0,255,255,255,73,6244.51,"Slaris",R,13,116,-2.06,-0.964,2,-353.673,353.434,0,0,1,4,2,R,"P0TA0",190,100,0.394,2,23,6245.398,160,99,56,149,93,-53.896,41.109,-0.48,-0.073,-0.012,0.165,0,0,0,-0.355,-36.814,-0.301,-17.063,-24.562,-49.559,-15.502,-63.709,18.226,-49.585,9.963,-69.384,29.551,-87.766,0.322,-104.773,-37.288,-85.679,6245.719,-0.761,-20.975,6247.819,2,"アリアル",-20.22,-43.696,0,0,0,0,0,0,0,2
147,7,0,3,2,0,0,1,0,0,0,255,255,255,74,6274.164,"Slaris",R,13,125,2.055,-0.83,2,-262.041,371.111,0,0,1,5,4,R,"Kenomo",190,93.022,0.499,2,103,6275.207,174,121,46,153,100,15.419,-24.811,0.95,-0.022,-0.093,0.257,0,0,0,0.079,-36.977,0.067,-17.054,-24.222,-49.103,-17.083,-62.627,17.206,-52.217,9.661,-66.581,27.555,-85.446,0.097,-98.355,-37.789,-85.001,0,0,0,6278.436,6,"소솨소솨",30.387,-74.254,0,0,0,0,0,0,0,1
148,7,0,3,2,0,0,2,0,0,0,255,255,255,75,6302.268,"Slaris",R,14,120,2.568,-0.98,4,373.824,332.047,0,0,1,6,0,L,"-Alta-",190,88,0.5,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151,-37.289,0.3,-16.977,-23.674,-48.91,-15.099,-63.582,22.477,-49.945,16.664,-69.271,41.761,-84.687,1.535,-98.036,-38.421,-83.942,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
149,7,0,3,2,0,1,2,0,0,0,255,255,255,76,6321.572,"Slaris",R,0,140,-0.89,0.195,2,-22.791,-185.49,0,0,1,6,0,L,"-Alta-",190,88,0.5,3,59,6322.484,199,155,34,155,126,99.139,65.879,0.36,0.086,-0.221,0.405,0,0,0,-0.242,-36.988,-0.158,-17.009,-23.934,-49.045,-15.052,-63.496,22.365,-49.662,13.104,-68.019,40.913,-83.991,2.852,-99.102,-38.505,-83.886,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
150,7,0,3,2,0,2,2,0,0,0,255,255,255,77,6342.55,"Slaris",R,14,126,2.697,-1.291,4,390.434,312.348,0,0,1,6,0,L,"-Alta-",190,88,0.5,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183,-37.416,0.155,-17.034,-24.06,-48.801,-11.944,-64.997,21.822,-47.298,15.812,-63.993,41.062,-83.598,2.391,-100.253,-36.259,-86.059,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
151,8,1,3,2,0,0,0,0,0,0,255,255,255,0,6487.835,"Kenomo",R,0,136,2.335,0.425,2,90.429,-75.381,0,0,1,0,5,R,"coder_",164.7,107,0.268,3,59,6488.839,178,90,23,142,121,2.33,28.617,0.34,-0.094,-0.107,0.089,0,0,0,-0.057,-37.109,0.054,-16.352,-22.632,-47.139,-10.893,-63.463,21.112,-46.878,14.835,-63.44,35.075,-84.364,1.118,-115.587,-40.198,-79.644,6490.053,-15.583,-48.391,6491.669,8,"わかなで",-29.687,-75.69,1,0,0,0,0,0,0,2
152,8,1,3,2,0,0,0,1,0,0,5,255,255,1,6529.902,"Kenomo",R,13,117,0.468,-0.762,0,-370.255,336.022,0,0,1,1,9,L,"encounter v",190,100,0.447,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.09,-37.285,0.01,-16.401,-18.16,-39.982,-6.914,-61.689,20.682,-45.967,14.292,-62.828,32.362,-82.801,0.485,-117.169,-38.83,-88.745,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
153,8,1,3,2,0,1,0,1,0,0,5,255,255,2,6547.903,"Kenomo",R,12,127,0.893,-0.568,2,-11.228,130.663,0,0,1,1,9,L,"encounter v",190,100,0.447,3,59,6548.981,162,127,25,150,129,50,2.774,0.65,0.1,-0.165,0.447,0,0,0,0.109,-37.16,0.09,-16.503,-18.346,-39.644,-8.789,-62.252,20.958,-46.197,14.473,-62.304,32.399,-82.788,0.703,-116.637,-40.705,-81.889,6555.836,9.874,-123.663,6555.953,7,"紅さかな",9.64,-122.029,0,0,0,0,0,0,0,1
154,8,1,3,2,0,0,1,1,0,0,5,255,255,3,6589.575,"Kenomo",R,0,132,-0.214,0.773,2,98.291,-99.17,0,0,1,2,1,L,"눈꽃",190,104.886,0.496,3,90,6590.629,197,118,34,154,96,21.443,-32.407,-0.44,0.003,-0.003,0.128,0,0,0,-0.228,-36.8,-0.011,-16.322,-18.212,-40.455,-9.616,-63.288,20.183,-45.693,16.415,-61.781,34.05,-88.749,0.066,-113.604,-42.172,-82.655,0,0,0,6594.636,6,"甲斐野柊太",37.807,-78.44,0,0,0,0,0,0,0,1
155,8,1,3,2,0,0,2,0,1,0,255,5,255,4,6651.405,"Kenomo",R,0,131,1.375,1.454,1,103.896,-66.907,0,0,0,3,8,L,"Sabo_10",184.7,94,0.597,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.07,-37.367,0.068,-16.07,-22.73,-47.964,-7.52,-62.295,19.315,-43.868,11.087,-62.683,32.204,-83.899,1.128,-116.32,-42.318,-91.498,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
